_id,published,content.link,content.title,content.body,label
ge:1620759028784135434,2016-11-05T10:25:00.000Z,https://www.google.com/url?rct=j&sa=t&url=http://www.npr.org/sections/parallels/2016/11/05/500669878/italy-becomes-a-leading-destination-for-migrants-matching-greece&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGrPwzhiROzwPY9b8sXz6sS4r4Wpg,"Italy Becomes A Leading Destination For <b>Migrants</b>, Matching Greece","&quot;Nobody <b>died</b>,&quot; he says. With close to 160,000 arrivals this year, Italy could surpass Greece as Europe&#39;s major <b>migrant</b> and refugee point of entry.",rejected
ge:18239534028951138362,2016-11-05T05:42:40.000Z,https://www.google.com/url?rct=j&sa=t&url=http://leadership.ng/features/557765/irregular-migration-senate-joins-forces-to-halt-death-of-nigerians&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGvMYS6fJKDzZXPpb4U6OtBX0eMKg,Irregular <b>Migration</b>: Senate Joins Forces To Halt <b>Death</b> Of Nigerians,"As the number of <b>migrants</b>&#39; deaths in the Mediterranean Sea hit nearly 4,000 in 2016, the Senate led by Senator Shehu Sani is on the road with&nbsp;...",rejected
ge:4560001439482459037,2016-11-05T05:26:37.000Z,https://www.google.com/url?rct=j&sa=t&url=http://newsliner.in/news/Over-200-migrants-die-in-shipwrecks-off-Libya-1478284200&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNG-IVUDONjiEndntXqL2uP52kxeRg,Over 200 <b>migrants die</b> in shipwrecks off Libya,Over 200 <b>migrants die</b> in shipwrecks off Libya. Over 200 <b>migrants die</b> in shipwrecks off Libya. Report Abuse Click Here To Read More. Similar News&nbsp;...,accepted
ge:11721998312442412795,2016-11-05T05:18:37.000Z,https://www.google.com/url?rct=j&sa=t&url=https://www.f3nws.com/news/239-die-off-lybia-coast-yxrJME&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGnBNqROfwG6Sabb9mt-5oMsyXq9A,239 <b>migrants die</b> in the Med,"At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations <b>migration</b> agency,&nbsp;...",accepted
ge:12121811051108214999,2016-11-05T00:27:03.000Z,https://www.google.com/url?rct=j&sa=t&url=http://www.observerbd.com/details.php%3Fid%3D41746&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEeVyWJHz30tWG8WBr4_nIhBzTu4w,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"GENEVA, Nov 3 : At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations&nbsp;...",accepted
ge:8991470599314538820,2016-11-04T23:51:46.000Z,https://www.google.com/url?rct=j&sa=t&url=http://www.irishtimes.com/news/world/europe/remains-of-migrant-life-strewn-across-the-stalingrad-camp-1.2855248&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEau4JSV4MdIFQkP4UzKiXcEnWGjQ,Remains of <b>migrant</b> life strewn across the Stalingrad camp,"Life is after <b>death</b>, not here. They&#39;re not <b>migrants</b>. <b>Migrants</b> are birds and animals. When a Frenchman goes abroad, he&#39;s an &#39;expatriate&#39;. When it&#39;s a&nbsp;...",rejected
ge:12075882848350770687,2016-11-04T22:29:01.000Z,https://www.google.com/url?rct=j&sa=t&url=https://open-speech.com/showthread.php/730847-Germany-s-%25C3%259Cbergutmenschen-and-7-million-Lumpen-migrants&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGEDSfSs7UPR_C2x9Tt1wT5XtpbuQ,Germany&#39;s Übergutmenschen and 7 million Lumpen-<b>migrants</b>,"So denken US-Demokraten wirklich über Deutschland Wikileaks hat e-mails veröffentlicht, <b>die</b> wohl an Hillary Clintons Wahlkampfchef Podesta&nbsp;...",rejected
ge:15428506610722352235,2016-11-04T20:47:54.000Z,https://www.google.com/url?rct=j&sa=t&url=http://crcconnection.com/2016/11/04/239-migrants-die-in-two-shipwrecks-off-libya.html&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFvTw8Uwxi1M3Pj5emrLF_LFlrBAw,239 <b>migrants die</b> in two shipwrecks off Libya,"There was panic as refugees fell into the water during a rescue operation by the Topaz Responder rescue ship run by Maltese NGO, Moas, and the&nbsp;...",accepted
ge:5055609828518538266,2016-11-04T20:46:45.000Z,https://www.google.com/url?rct=j&sa=t&url=http://www.businesspost.ng/2016/11/04/240-migrants-perish-mediterranean-sea/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHuQqNeR_0H7YbM3-bkVnFWJqbvkg,Over 240 <b>Migrants</b> Perish In Mediterranean Sea,"By Dipo Olowookere. Reports said two children, whose mother <b>died</b> while on board a boat ferrying refuges and <b>migrants</b> from North Africa to Europe,&nbsp;...",accepted
ge:5637883152692138122,2016-11-04T19:40:02.000Z,https://www.google.com/url?rct=j&sa=t&url=http://www.dailymotion.com/video/x50opx6&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNERm0ie7V-nax4R0uEGFzCymmqjtw,UN says 239 <b>migrants die</b> in two shipwrecks off Libya,"Waseb TV is a Saraiki language channel. Its programming consists of general Entertainment, Infotainment, News, Current affairs and Drama&#39;s.",accepted
